"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1980-12","Dec-1980","IDX","Index","0","units","2010_100","2010=100",17.56763,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1981-01","Jan-1981","IDX","Index","0","units","2010_100","2010=100",17.81906,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1981-02","Feb-1981","IDX","Index","0","units","2010_100","2010=100",18.00182,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1981-03","Mar-1981","IDX","Index","0","units","2010_100","2010=100",18.20625,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1981-04","Apr-1981","IDX","Index","0","units","2010_100","2010=100",18.42689,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1981-05","May-1981","IDX","Index","0","units","2010_100","2010=100",18.58627,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1981-06","Jun-1981","IDX","Index","0","units","2010_100","2010=100",18.74441,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1981-07","Jul-1981","IDX","Index","0","units","2010_100","2010=100",18.92733,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1981-08","Aug-1981","IDX","Index","0","units","2010_100","2010=100",19.06646,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1981-09","Sep-1981","IDX","Index","0","units","2010_100","2010=100",19.27871,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1981-10","Oct-1981","IDX","Index","0","units","2010_100","2010=100",19.49319,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1981-11","Nov-1981","IDX","Index","0","units","2010_100","2010=100",19.68515,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1981-12","Dec-1981","IDX","Index","0","units","2010_100","2010=100",19.82162,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1982-01","Jan-1982","IDX","Index","0","units","2010_100","2010=100",20.08184,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1982-02","Feb-1982","IDX","Index","0","units","2010_100","2010=100",20.22285,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1982-03","Mar-1982","IDX","Index","0","units","2010_100","2010=100",20.38923,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1982-04","Apr-1982","IDX","Index","0","units","2010_100","2010=100",20.6006,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1982-05","May-1982","IDX","Index","0","units","2010_100","2010=100",20.77116,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1982-06","Jun-1982","IDX","Index","0","units","2010_100","2010=100",20.95486,,
