,GDP,CPI,MSCI
1996-09-30,13603945.083925,58.67553,1253.5719745522536
1996-12-31,13668861.128928,59.76537,1316.765879638995
1997-03-31,13747760.329131,60.8313,1382.364013262909
1997-06-30,13926561.528453,61.81647,1408.9448976947406
1997-09-30,14029567.367002,62.73223,1584.2414656708363
1997-12-31,14196699.821844,64.18566,1516.055143781337
1998-03-31,14280170.791876,65.42902,1623.5762051762354
1998-06-30,14368919.29149,66.50809,1873.3811179963222
1998-09-30,14441081.273013,67.07142,1946.745722693809
1998-12-31,14481273.175632,68.09774,1730.5566968889127
1999-03-31,14576881.04237,68.82036,1863.1114396960438
1999-06-30,14664770.159669,69.95116,1852.5782846202978
1999-09-30,14822311.839915,70.53503,1787.877597840392
1999-12-31,15017305.735913,71.74966,1819.3535690622089
2000-03-31,15198507.669887,72.90611,1876.3859435100844
2000-06-30,15344962.523118,73.84361,1901.6946760863939
2000-09-30,15436590.40578,74.46762,1873.4719868850384
2000-12-31,15559668.294784,75.32954,1725.2328900455254
2001-03-31,15634921.424627,75.97456,1753.7581000798164
2001-06-30,15636580.364411,77.70331,1541.1312594019482
2001-09-30,15686067.650094,78.62891,1388.5605180079438
2001-12-31,15696957.841536,79.70222,1235.2729949052862
2002-03-31,15769513.977514,80.74471,1230.9784752462422
2002-06-30,15874291.634298,81.75079,1263.0336660966825
2002-09-30,15956595.672759,81.87366,1070.5640861786317
2002-12-31,16012252.227727,82.7538,1003.7968044971952
2003-03-31,16025407.385383,83.40705,956.8615602637907
2003-06-30,16060170.253545,84.31498,1011.884246429282
2003-09-30,16181368.02457,84.29476,1100.6615357822955
2003-12-31,16317960.701543,84.89933,1181.8585611924145
2004-03-31,16452996.093524,85.20609,1340.925278932527
2004-06-30,16557372.106282,86.16914,1299.0381475317033
2004-09-30,16621879.774649,86.40603,1286.449568392391
2004-12-31,16699917.185755,87.07413,1370.5792983518757
2005-03-31,16793858.838697,87.16445,1498.5237674304146
2005-06-30,16925020.423902,88.15902,1462.6296889416421
2005-09-30,17077646.713785,88.43585,1524.3252594960074
2005-12-31,17224850.113153,89.23815,1514.5540332245791
2006-03-31,17378830.513006,89.32673,1691.1511257604527
2006-06-30,17578987.944906,90.40279,1810.541466695884
2006-09-30,17687511.344846,90.92544,1764.302707801029
2006-12-31,17872840.511163,91.2193,1900.0913183942434
2007-03-31,18017714.110913,91.52191,2029.6123627664674
2007-06-30,18136297.10468,92.79593,2180.117166776603
2007-09-30,18251417.815511,92.92796,2147.2869952165097
2007-12-31,18395738.681922,93.79093,2303.38903772465
2008-03-31,18483095.359978,94.67891,1938.0028773039317
2008-06-30,18416468.869501,96.17841,2011.1374267884028
2008-09-30,18304758.893773,97.23708,1750.8135785237482
2008-12-31,17929822.848993,97.53011,1115.8605275847635
2009-03-31,17447059.404431,96.66106,976.0497143317072
2009-06-30,17460085.731105,97.52438,1045.2463271235358
2009-09-30,17553970.062906,97.66509,1251.931473159959
2009-12-31,17651792.984773,98.13718,1364.508334150217
2010-03-31,17734745.374233,98.57535,1329.6934781362684
2010-06-30,17924153.661629,99.96647,1319.5424425809972
2010-09-30,18015470.460818,99.90323,1270.0089876973948
2010-12-31,18160388.222443,100.616,1401.0793511966287
2011-03-31,18321768.034008,101.306,1443.2708822774564
2011-06-30,18351361.010558,102.9982,1554.8427059890369
2011-09-30,18397672.937157,102.9947,1408.1695465883197
2011-12-31,18377311.320188,104.1106,1244.9452793471555
2012-03-31,18357718.577068,104.6147,1212.8219074374824
2012-06-30,18328708.200648,106.2187,1218.5142540814375
2012-09-30,18335174.372881,105.9078,1156.0999284283123
2012-12-31,18281199.340743,107.0514,1240.6003097577425
2013-03-31,18289422.286305,107.0202,1380.393607935698
2013-06-30,18394374.806123,107.9505,1369.071935748329
2013-09-30,18471305.678296,108.2383,1385.3044624684608
2013-12-31,18535735.973328,108.6244,1517.0164346132176
2014-03-31,18613178.915246,108.5961,1504.133205520272
2014-06-30,18655917.183988,109.6148,1606.2976897280294
2014-09-30,18730775.622142,109.6036,1543.2339813655756
2014-12-31,18828195.244804,109.887,1442.5637245534049
2015-03-31,18950807.791791,108.8566,1426.702652847875
2015-06-30,19050279.714984,110.3123,1504.8911136836057
2015-09-30,19135421.783351,110.3379,1479.4463189892142
