date;GDP;Cons;Inv;Lab;Hours;Infl;Wage;FFR;CB_Bonds;CB_Loans;CBL;CB_Bonds_10Y;BAASpread;GZSpread;ACMTP10;R10obs
01-Oct-1984;0.554923113;0.660083657;-0.613711259;0.236085867;-0.001149348;0.746202161;0.054070731;2.316666667;0;0;0;0;0.465833333;0.231441667;1.091887462;2.8875
1-jan-85;0.707889299;1.442754128;-1.892754796;0.228660514;0.000450319;0.983270159;0.287845389;2.119166667;0;0;0;0;0.4525;0.247091667;1.079651198;2.9125
1-apr-85;0.620728238;0.873307946;0.986957653;0.232829845;0.001091421;0.64160695;0.30873364;1.980833333;0;0;0;0;0.551666667;0.285866667;0.987428923;2.5625
1-jul-85;1.261866978;1.253157933;0.659545572;0.061386953;-0.001992261;0.600987572;0.870940299;1.975;0;0;0;0;0.533333333;0.291675;1.018313548;2.5775
01-Oct-1985;0.418214276;0.716875768;1.125697804;0.612415601;-0.001602434;0.557439415;1.315802706;2.025833333;0;0;0;0;0.554166667;0.334158333;0.817305912;2.25
1-jan-86;0.597417816;0.677856465;0.117596035;0.937290389;-0.002422915;0.496521751;0.927325164;1.956666667;0;0;0;0;0.615;0.4229;0.461817935;1.8475
1-apr-86;0.111322188;-0.217935401;-0.124358836;0.456663306;-0.00585068;0.37888401;0.765816543;1.73;0;0;0;0;0.6675;0.465766667;0.540269084;1.8375
1-jul-86;0.617778544;0.368401786;0.749127712;0.817898283;-0.002811987;0.407947443;0.840584727;1.551666667;0;0;0;0;0.718333333;0.536908333;0.716884557;1.8625
01-Oct-1986;0.233880396;0.767847423;-0.714733435;0.990662723;0.00123243;0.543732336;0.794611333;1.566666667;0;0;0;0;0.7075;0.510658333;0.642843725;1.8075
1-jan-87;0.438921267;1.164404511;-0.431774032;1.715017221;0.005377709;0.633003536;-0.193332581;1.555;0;0;0;0;0.616666667;0.483725;0.636159986;1.8775
1-apr-87;0.773073642;0.910383516;0.852970017;2.171948405;-0.001612211;0.690650736;0.054361154;1.6625;0;0;0;0;0.503333333;0.437025;0.717973868;2.095
1-jul-87;0.575988279;0.574220142;0.716947566;2.51389191;-0.000512204;0.754072036;0.265013707;1.710833333;0;0;0;0;0.5075;0.403158333;0.871130415;2.4075
01-Oct-1987;1.433640317;0.585079437;3.28672308;2.828368002;0.001999006;0.793503041;0.375189653;1.729166667;0;0;0;0;0.564166667;0.420991667;0.835247403;2.2075
1-jan-88;0.262846597;1.180332032;-2.287319765;2.687857905;-0.0059217;0.780377227;0.940306927;1.665833333;0;0;0;0;0.584166667;0.417733333;0.855256633;2.1425
1-apr-88;1.056851671;0.827200027;0.847138857;2.903068329;0.002558761;0.968688047;0.228052975;1.789166667;0;0;0;0;0.5175;0.374975;0.794439386;2.205
1-jul-88;0.341473918;1.128068817;-1.103303828;2.99848727;-0.001821476;1.188555235;0.045134096;1.995833333;0;0;0;0;0.493333333;0.366;0.685675616;2.2175
01-Oct-1988;1.078955386;0.841132395;1.448543448;3.565452999;0.00389083;0.861380846;-0.114115977;2.1175;0;0;0;0;0.389166667;0.407025;0.55572555;2.285
1-jan-89;0.771212433;0.583282253;1.647681672;3.990677775;0.001717981;1.03584864;-0.750449809;2.360833333;0;0;0;0;0.359166667;0.4064;0.45133595;2.325
1-apr-89;0.523045747;0.574278828;-1.134201975;3.779407637;0.000790438;1.059549464;-0.644416014;2.431666667;0;0;0;0;0.398333333;0.452208333;0.44862156;2.025
1-jul-89;0.501618707;0.441263996;-0.449877585;3.788758908;0.001559762;0.727761407;0.176789127;2.270833333;0;0;0;0;0.445;0.477933333;0.429702005;2.0775
01-Oct-1989;-0.170730724;0.775955381;-2.041858274;3.562828057;-0.003894319;0.709618347;0.715936991;2.153333333;0;0;0;0;0.476666667;0.403683333;0.429457069;1.9825
1-jan-90;0.720879215;0.464654219;1.118244231;4.232056925;-0.002649854;1.073401421;0.844538399;2.0625;0;0;0;0;0.418333333;0.357708333;0.495859513;2.1625
1-apr-90;-0.003494185;0.438474616;-2.33837266;3.572589848;-0.004552058;1.114019016;0.8173272;2.060833333;0;0;0;0;0.408333333;0.314558333;0.516128196;2.1075
1-jul-90;-0.310766228;0.8224217;-2.481144617;2.665322171;-0.002776332;0.853619707;0.471582433;2.04;0;0;0;0;0.428333333;0.28475;0.718566384;2.205
01-Oct-1990;-1.145028326;0.031951691;-5.486971662;1.943001028;-5.8532E-05;0.740986282;0.022610333;1.935833333;0;0;0;0;0.55;0.382475;0.672854523;2.02
1-jan-91;-0.698763806;-0.76594559;-3.478668489;1.028511888;-0.002705965;0.975421745;-0.385052889;1.606666667;0;0;0;0;0.546666667;0.371883333;0.67531264;2.0125
1-apr-91;0.543860213;0.490478887;-0.570362344;0.653299752;-0.001527166;0.731471707;1.165047424;1.465833333;0;0;0;0;0.4475;0.334033333;0.773417845;2.06
1-jul-91;0.270842366;0.060541144;1.110809712;0.458272971;0.00134129;0.777611257;0.415603292;1.410833333;0;0;0;0;0.435833333;0.341683333;0.736772535;1.8675
01-Oct-1991;0.111263158;0.132568995;0.859664424;0.238327208;-0.000381644;0.592802152;0.72474528;1.204166667;0;0;0;0;0.513333333;0.357308333;0.7987406;1.6775
1-jan-92;0.948788105;1.677818337;-0.83258198;0.234187942;-0.000793111;0.370785002;2.203581287;1.005833333;0;0;0;0;0.475;0.322275;0.783471189;1.885
1-apr-92;0.831065158;0.544469221;3.267915085;0.853424916;0.002504477;0.599050186;0.318779926;0.9425;0;0;0;0;0.438333333;0.306133333;0.934482243;1.785
