date,gz_spread,ebp,est_prob
APR2002,2.6278,0.3781,0.3640601182
MAY2002,2.7213,0.5059,0.4247704433
JUN2002,3.3132,1.0053,0.665561068
JUL2002,4.0756,1.5980,0.8770284701
AUG2002,3.9523,1.4961,0.8495245094
SEP2002,4.2835,1.6885,0.8983551633
OCT2002,4.3539,1.4785,0.8443856596
NOV2002,3.7772,1.0760,0.6967504628
DEC2002,3.6684,0.9479,0.6393360981
JAN2003,3.5693,0.9385,0.6349613161
FEB2003,3.4227,0.7186,0.5292040616
MAR2003,3.1856,0.1937,0.2824335131
APR2003,2.6895,0.1144,0.2502589105
MAY2003,2.7671,-0.4888,0.0779153793
JUN2003,2.5055,-0.3569,0.1045258027
JUL2003,2.4127,-1.1058,0.0145554042
AUG2003,2.3670,-0.1868,0.1477987808
SEP2003,2.3906,-0.5664,0.0648591838
OCT2003,2.0798,-0.5279,0.0711114736
NOV2003,1.9783,-0.5699,0.0643162344
DEC2003,1.8944,-0.5282,0.0710481945
JAN2004,1.7752,-0.7535,0.0403678379
FEB2004,1.8996,-0.3587,0.1041216734
MAR2004,1.9211,-0.5608,0.0657384579
APR2004,1.7580,-0.8074,0.0349050797
MAY2004,1.9115,-0.4013,0.0949062278
JUN2004,1.8153,-0.4037,0.0944125018
JUL2004,1.7558,-0.3367,0.1091136762
AUG2004,1.8722,-0.4538,0.0844158349
SEP2004,1.7636,-0.5754,0.0634729478
OCT2004,1.7608,-0.5267,0.0713144112
NOV2004,1.5595,-0.6668,0.05057602
DEC2004,1.4959,-0.7191,0.0441992141
JAN2005,1.7510,-0.6619,0.0512092275
FEB2005,1.6035,-0.9113,0.0260932599
MAR2005,1.9386,-0.5913,0.0610594617
APR2005,2.2656,-0.3089,0.1156771837
MAY2005,2.2439,-0.2455,0.1316641779
JUN2005,2.0601,-0.4460,0.0859171574
JUL2005,1.7759,-0.6063,0.0588494321
AUG2005,1.9239,-0.5999,0.059784337
SEP2005,1.9658,-0.4703,0.0813054029
OCT2005,2.0723,-0.2956,0.1189062679
NOV2005,2.1501,-0.2174,0.1392229877
DEC2005,2.2603,-0.1526,0.1577797041
JAN2006,2.0091,-0.3156,0.1140714626
FEB2006,1.9990,-0.2474,0.1311853985
MAR2006,1.9236,-0.3821,0.0989827785
APR2006,1.8374,-0.4180,0.0914779239
MAY2006,1.8208,-0.3418,0.1079448298
JUN2006,1.8753,-0.4418,0.0867349308
JUL2006,1.9109,-0.3534,0.1053089651
AUG2006,1.9148,-0.3736,0.100830355
SEP2006,1.9106,-0.4657,0.0821547366
OCT2006,1.8095,-0.4942,0.0769418106
NOV2006,1.7823,-0.4863,0.0783681197
DEC2006,1.6728,-0.6296,0.0555491927
JAN2007,1.5655,-0.7110,0.0451430618
FEB2007,1.6022,-0.7075,0.0455487804
MAR2007,1.6799,-0.4859,0.0784345967
APR2007,1.6441,-0.4902,0.0776659471
MAY2007,1.5467,-0.7530,0.0404184028
JUN2007,1.6984,-0.5478,0.0678240191
JUL2007,2.2405,-0.0984,0.1744530334
AUG2007,2.3980,0.0359,0.2204618557
SEP2007,2.3205,-0.0807,0.1801430937
OCT2007,2.2569,-0.1747,0.1512861125
NOV2007,2.8609,0.2107,0.2895750811
DEC2007,2.9462,0.3858,0.3676329338
JAN2008,3.3664,0.6199,0.4805326833
FEB2008,3.6324,0.8498,0.5930604347
MAR2008,3.9127,1.1118,0.7120016144
APR2008,3.3672,0.5744,0.4582009541
MAY2008,3.2565,0.6466,0.4937309631
JUN2008,3.6724,0.8728,0.6040392471
JUL2008,3.9966,1.2277,0.7588553176
AUG2008,4.1383,1.4097,0.8231894677
SEP2008,5.2530,1.9622,0.9463610884
OCT2008,7.5144,3.4531,0.9997232886
NOV2008,7.9514,2.9062,0.9972606914
DEC2008,7.6713,3.0304,0.9983101827
JAN2009,6.3811,2.6527,0.9931314455
FEB2009,6.1762,3.1105,0.9987770746
MAR2009,6.3808,2.6796,0.9937429764
APR2009,5.4200,2.1863,0.9704569628
MAY2009,4.8117,1.2985,0.7852427364
JUN2009,4.1784,0.8876,0.6110649749
JUL2009,3.5503,0.2907,0.3242982439
AUG2009,3.3207,0.0122,0.2118585006
SEP2009,2.9718,0.0099,0.2110536938
OCT2009,2.8593,-0.1857,0.1480966128
NOV2009,2.8557,-0.0469,0.1913362727
DEC2009,2.4245,-0.5725,0.0639075685
JAN2010,2.4117,-0.2393,0.1333102715
FEB2010,2.4379,-0.0436,0.192450874
MAR2010,2.2328,-0.2172,0.1392836392
APR2010,2.1155,-0.3578,0.1043136699
MAY2010,2.5696,-0.2473,0.1312075755
JUN2010,2.6991,-0.0629,0.1859995973
JUL2010,2.5381,0.1000,0.2446648568
AUG2010,2.6903,-0.4220,0.0906635787
SEP2010,2.5247,-0.0921,0.1764644334
OCT2010,2.3971,-0.0636,0.1857394542
NOV2010,2.3963,-0.2113,0.1408972153
DEC2010,2.2135,-0.5093,0.0742765565
JAN2011,2.1114,-0.0361,0.195003296
FEB2011,1.9955,-0.3238,0.1121154965
MAR2011,1.9638,-0.3560,0.1047144852
APR2011,1.9658,-0.3110,0.115171108
MAY2011,2.0533,-0.1720,0.152068411
JUN2011,2.1363,-0.0580,0.1876148137
JUL2011,2.1988,-0.1199,0.1677164245
AUG2011,2.7951,-0.2098,0.1413317
SEP2011,3.0840,0.3341,0.3438323296
OCT2011,2.7782,-0.2156,0.1397225307
NOV2011,2.9709,0.4365,0.3914957717
DEC2011,2.8697,0.2002,0.2851625848
JAN2012,2.7411,0.1137,0.250017461
FEB2012,2.4848,-0.0058,0.2054698165
MAR2012,2.4111,-0.4405,0.0869867242
APR2012,2.5073,-0.2399,0.1331476096
MAY2012,2.7853,-0.1796,0.1498651863
JUN2012,2.7333,0.0941,0.2423771569
JUL2012,2.5859,-0.0752,0.1819415649
AUG2012,2.5128,-0.2953,0.1189919433
SEP2012,2.3817,-0.2506,0.1303320514
OCT2012,2.2282,-0.2802,0.1227495685
NOV2012,2.3196,-0.1300,0.1645849862
DEC2012,2.2231,-0.2430,0.1323368408
JAN2013,2.1052,-0.1697,0.1527278832
FEB2013,2.1397,-0.1090,0.1711028444
MAR2013,2.1164,-0.1825,0.1490177685
APR2013,2.0587,-0.2104,0.1411682084
MAY2013,1.9831,-0.6173,0.0572670965
JUN2013,2.1572,-0.4987,0.0761369132
JUL2013,2.0348,-0.0835,0.1792463896
AUG2013,2.0095,-0.2073,0.1420075856
SEP2013,2.0716,-0.2279,0.1363692149
OCT2013,1.9827,-0.1067,0.1718507419
NOV2013,1.9362,-0.0566,0.188082484
DEC2013,1.7863,-0.2132,0.1403944317
JAN2014,1.8432,-0.3977,0.0956716477
FEB2014,1.7330,-0.2838,0.1218411511
MAR2014,1.6844,-0.3583,0.1042119575
